rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU2061	160.58098804300488	-0.42781489197182565	0.2051401701528236	-2.08547595360341	0.03702611867999243	0.084676388926463
TU3698	1182.2069011013218	0.2314607693372108	0.11107377069086846	2.0838472296163753	0.0371740656943542	0.08491785149211736
TU899	137.9568453459551	-0.37225600895317207	0.17863209862881943	-2.0839256315668373	0.03716693245024091	0.08491785149211736
TU1814	17.810636861476098	-0.8201050614830503	0.39387106444391723	-2.0821663115591065	0.03732728125502164	0.08521928846889622
TU2940	4833.871386500284	0.19985085569459163	0.09602669140268612	2.081201099145662	0.03741550299757671	0.08537208395975243
TU1412	24.03302351160279	-0.70154873195052	0.3373167808507739	-2.0797919693799027	0.0375446180148164	0.08561795996666606
TU1392	426.67605358807396	-0.31260283109081605	0.15051719279869813	-2.0768579673744743	0.03781467017956291	0.08608688969328092
TU1485	371.36959246124417	0.331902038340349	0.15980548079289011	2.076912735993693	0.037809614058233396	0.08608688969328092
TU6090	90.53496380430428	0.4218355346022248	0.2031116387140756	2.0768653991121173	0.03781398406377496	0.08608688969328092
TU2089	24.74233718064603	0.6888950480241302	0.33200141225124735	2.074976257940728	0.03798873523693087	0.08643407466790912
TU1278	17.340777341457862	-0.9006467055103476	0.4342134062436043	-2.074202897837435	0.03806047122612864	0.08654817308312521
TU1666	4.555954778938472	-1.769332704792243	0.8532599384907702	-2.0736151141958037	0.03811507037728453	0.08659979728076561
TU2836	2220.6094545830565	0.23357799407942845	0.11264949469703685	2.0734934915386933	0.03812637620367955	0.08659979728076561
TU2692	2054.667580354981	0.22933683794348153	0.11067448233029453	2.0721744806454447	0.03824917238650964	0.08682951987401877
TU330	631.6299244077868	0.2767299882002864	0.13359406403984542	2.0714242821279067	0.038319163637456216	0.08693917771508884
TU1570	126.80497945559304	0.5115129154023579	0.2471388546391356	2.069738957677266	0.03847679643950869	0.08724744170022077
TU3515	23.19177741029666	-0.8941182955951642	0.4321200542924383	-2.0691432547818467	0.038532645767606816	0.08732469015394896
